Ticker,Name,Exchange
EURXAF=X,EUR/XAF,CCY
19752592.SW,GOLD 999.9/1000    ,EBS
CZKMYR=X,CZK/MYR,CCY
CZKKES=X,CZK/KES,CCY
CADMDL=X,CAD/MDL,CCY
SARRUB=X,SAR/RUB,CCY
EURXOF=X,EUR/XOF,CCY
KESJOD=X,KES/JOD,CCY
MXNSGD=X,MXN/SGD,CCY
CHFLKR=X,CHF/LKR,CCY
CHFHNL=X,CHF/HNL,CCY
GBPUYU=X,GBP/UYU,CCY
LVLKES=X,LVL/KES,CCY
GBPUSD=X,GBP/USD,CCY
KWDTHB=X,KWD/THB,CCY
GTQEUR=X,GTQ/EUR,CCY
ZARCHF=X,ZAR/CHF,CCY
TND=X,USD/TND,CCY
TWDMXN=X,TWD/MXN,CCY
CNYKRW=X,CNY/KRW,CCY
GBPCHF=X,GBP/CHF,CCY
HUFINR=X,HUF/INR,CCY
SGDKES=X,SGD/KES,CCY
PENBOB=X,PEN/BOB,CCY
CADGEL=X,CAD/GEL,CCY
MXNUYU=X,MXN/UYU FIXING,CCY
RONCNY=X,RON/CNY,CCY
TNDJPY=X,TND/JPY,CCY
KESSGD=X,KES/SGD,CCY
TNDTWD=X,TND/TWD,CCY
HG20.EX,STURM GOLF 20BN 10,EUX
RUBAMD=X,RUB/AMD,CCY
CADDOP=X,CAD/DOP,CCY
CHFTJS=X,CHF/TJS,CCY
KESAUD=X,KES/AUD,CCY
PLNSGD=X,PLN/SGD,CCY
THBZAR=X,THB/ZAR,CCY
AUDSVC=X,AUD/SVC,CCY
STD=X,USD/STD,CCY
MYRBOB=X,MYR/BOB,CCY
ZWL=X,USD/ZWL,CCY
LSLEUR=X,LSL/EUR,CCY
AOA=X,USD/AOA,CCY
TRYCNY=X,TRY/CNY,CCY
LRDUSD=X,LRD/USD,CCY
LKRILS=X,LKR/ILS,CCY
EUR-CDF.F,EUR/CDF,FRA
RONCHF=X,RON/CHF,CCY
CHFSLL=X,CHF/SLL,CCY
NZDGBP=X,NZD/GBP,CCY
CHFTRY=X,CHF/TRY,CCY
THBIDR=X,THB/IDR,CCY
TJSUSD=X,TJS/USD,CCY
HG12.EX,STURM GOLF 10BN 12,EUX
KWDJOD=X,KWD/JOD,CCY
SGDTRY=X,SGD/TRY,CCY
IDEPM.MDD,ELECTR. PEAKLOAD M,MDD
BBDUSD=X,BBD/USD,CCY
JODMAD=X,JOD/MAD,CCY
SEKMYR=X,SEK/MYR,CCY
CHFWST=X,CHF/WST,CCY
HUFTWD=X,HUF/TWD,CCY
ILSTHB=X,ILS/THB,CCY
HU30.EX,STURM USA 30BN 10,EUX
AEDAUD=X,AED/AUD,CCY
PENDKK=X,PEN/DKK,CCY
INRCAD=X,INR/CAD,CCY
19753424.SW,SILBER 999/1000,EBS
CHFQAR=X,CHF/QAR,CCY
SVCGBP=X,SVC/GBP,CCY
LTLMAD=X,LTL/MAD,CCY
ZARANG=X,ZAR/ANG,CCY
RONJPY=X,RON/JPY,CCY
PKRCHF=X,PKR/CHF,CCY
EUR-PHP.F,EUR/PHP,FRA
CZKCHF=X,CZK/CHF,CCY
BWPCHF=X,BWP/CHF,CCY
ARSAUD=X,ARS/AUD,CCY
CHFRSD=X,CHF/RSD,CCY
ARSMXN=X,ARS/MXN,CCY
CHFNOK=X,CHF/NOK,CCY
SGDTHB=X,SGD/THB,CCY
ANG=X,USD/ANG,CCY
NZDTND=X,NZD/TND,CCY
QARCAD=X,QAR/CAD,CCY
OCUF.EX,USD/CHF,EUX
JODNZD=X,JOD/NZD,CCY
AED=X,USD/AED,CCY
RUBIDR=X,RUB/IDR,CCY
AEDHKD=X,AED/HKD,CCY
ILSLVL=X,ILS/LVL FIXING,CCY
CADKRW=X,CAD/KRW,CCY
SARPKR=X,SAR/PKR,CCY
MURZAR=X,MUR/ZAR,CCY
EURTTD=X,EUR/TTD,CCY
AUDCNH=X,AUD/CNH,CCY
SEKZAR=X,SEK/ZAR,CCY
EURMUR=X,EUR/MUR,CCY
DKKHUF=X,DKK/HUF,CCY
YER=X,USD/YER,CCY
ILSDKK=X,ILS/DKK,CCY
CZKMXN=X,CZK/MXN,CCY
CADBTN=X,CAD/BTN,CCY
THBISK=X,THB/ISK,CCY
ILSTWD=X,ILS/TWD,CCY
CADXAF=X,CAD/XAF,CCY
CHFBOB=X,CHF/BOB,CCY
ETB=X,USD/ETB,CCY
EGPCNY=X,EGP/CNY,CCY
RSDUSD=X,RSD/USD,CCY
SEKQAR=X,SEK/QAR,CCY
HRKAED=X,HRK/AED,CCY
EGPILS=X,EGP/ILS,CCY
SGDNGN=X,SGD/NGN,CCY
GBPMXN=X,GBP/MXN,CCY
CZKQAR=X,CZK/QAR,CCY
LKRSGD=X,LKR/SGD,CCY
ARSHKD=X,ARS/HKD,CCY
LTLPLN=X,LTL/PLN FIXING,CCY
BOBUSD=X,BOB/USD,CCY
KZTDKK=X,KZT/DKK,CCY
EURHRK=X,EUR/HRK,CCY
GBPLRD=X,GBP/LRD,CCY
LVLLTL=X,LVL/LTL,CCY
EURHTG=X,EUR/HTG,CCY
ISKCNY=X,ISK/CNY,CCY
CZKCAD=X,CZK/CAD,CCY
GBPMZN=X,GBP/MZN,CCY
GBPBGN=X,GBP/BGN,CCY
TWDNZD=X,TWD/NZD,CCY
CHFBHD=X,CHF/BHD,CCY
MXNTHB=X,MXN/THB,CCY
NZDCAD=X,NZD/CAD,CCY
AUDTWD=X,AUD/TWD,CCY
HNLEUR=X,HNL/EUR,CCY
ARSEUR=X,ARS/EUR,CCY
LBP=X,USD/LBP,CCY
ALL=X,USD/ALL,CCY
CHFSOS=X,CHF/SOS,CCY
EURNGN=X,EUR/NGN,CCY
LKRKES=X,LKR/KES,CCY
GBPLSL=X,GBP/LSL,CCY
LTLGBP=X,LTL/GBP,CCY
TNDEUR=X,TND/EUR,CCY
LTLLKR=X,LTL/LKR,CCY
HF30.EX,STURM FL 30BN 10,EUX
TRYZAR=X,TRY/ZAR,CCY
CHFMAD=X,CHF/MAD,CCY
EGPSEK=X,EGP/SEK,CCY
MYRSAR=X,MYR/SAR,CCY
BSDDKK=X,BSD/DKK,CCY
INR=X,USD/INR,CCY
OMRCNY=X,OMR/CNY,CCY
19752528.SW,GOLD 999.9/1000    ,EBS
ZARAED=X,ZAR/AED,CCY
HKDRUB=X,HKD/RUB,CCY
CZKHUF=X,CZK/HUF,CCY
EUR-ISK.F,EUR/ISK,FRA
MYRBHD=X,MYR/BHD,CCY
HKDLVL=X,HKD/LVL FIXING,CCY
THBEGP=X,THB/EGP,CCY
SEKLVL=X,SEK/LVL FIXING,CCY
SGDAED=X,SGD/AED,CCY
LVLTRY=X,LVL/TRY,CCY
EURKWD=X,EUR/KWD,CCY
HUFKRW=X,HUF/KRW,CCY
SEKTHB=X,SEK/THB,CCY
EUR-GEL.F,EUR/GEL,FRA
SRDCHF=X,SRD/CHF,CCY
EUR-UAH.F,EUR/UAH,FRA
EURMRO=X,EUR/MRO,CCY
KESPLN=X,KES/PLN,CCY
NOKDKK=X,NOK/DKK,CCY
DKKMXN=X,DKK/MXN,CCY
VUVMAD=X,VUV/MAD,CCY
CZKRON=X,CZK/RON,CCY
PHPIDR=X,PHP/IDR,CCY
THBKRW=X,THB/KRW,CCY
MXNLKR=X,MXN/LKR,CCY
MADTWD=X,MAD/TWD,CCY
SARCAD=X,SAR/CAD,CCY
LVLHKD=X,LVL/HKD,CCY
CADHKD=X,CAD/HKD,CCY
MXNVEF=X,MXN/VEF FIXING,CCY
NOKPHP=X,NOK/PHP,CCY
CHFBND=X,CHF/BND,CCY
CHFJOD=X,CHF/JOD,CCY
DZDMAD=X,DZD/MAD,CCY
XOFDKK=X,XOF/DKK,CCY
AEDEUR=X,AED/EUR,CCY
NOKEGP=X,NOK/EGP,CCY
EURLAK=X,EUR/LAK,CCY
