Ticker,Name,Exchange
8NH13.NYM,New York 0.3% Fuel Oil HiPr (Pl,NYM
ZALF1323.NYM,ZAL Future JAN 23 2013,NYM
U8G1312.NYM,CIG Rockies Natural Gas Swing S,NYM
XZ3K18.NYM,"future for XZ3, May, 2018, trad",NYM
RMBU13.CME,Chinese Renminbi / U.S. Dollar ,CME
RPU13.CME,Euro FX / British Pound Cross R,CME
GMRI-N1325.BO,GMRI     JUL  2013 FUTURE,BSE
GNLM1312.NYM,GNL Future JUN 12 2013,NYM
LTF14.NYM,Up-Down Gulf Coast ULSD vs NYME,NYM
CONHZ3.EX,CONH DEC 13        ,EUX
Y9K1301.NYM,Y9 Future MAY 01 2013,NYM
MNBZ14.NYM,"future for MNB, December, 2014,",NYM
XNF17.NYM,SOCAL Natural Gas Pipeline (Syn,NYM
LTX14.NYM,Up-Down Gulf Coast ULSD vs NYME,NYM
AOLM1320.NYM,AOL Future JUN 20 2013,NYM
MSDX1312.NYM,MSD Future NOV 12 2013 Trading ,NYM
X2V1330.NYM,X2 Future OCT 30 2013,NYM
QOJ14.CMX,"Gold miNY Futures,Apr-2014",CMX
MSDV1328.NYM,MSD Future OCT 28 2013,NYM
PQT4.AX,Peak Load Electricity Queenslan,ASX
Q7N1310.NYM,Q7 Future JUL 10 2013,NYM
UDLZ1311.NYM,UDL Future DEC 11 2013 Trading ,NYM
QLDM13.NYM,Central Appalachian Coal (CAPP),NYM
V3LU16.NYM,"future for V3L, September, 2016",NYM
Z7N14.NYM,ULSD 10ppm CIF MED vs. ICE Gaso,NYM
DXE6.AX,Dexus Property CFD May 2016 (ni,ASX
ZALQ1327.NYM,ZAL Future AUG 27 2013,NYM
MNBN14.NYM,"future for MNB, July, 2014, tra",NYM
S:IAG-P-J13-M13.PH,,XPH
A8GJ1312.NYM,A8G Future APR 12 2013,NYM
UDM1327.NYM,Northern Illinois Hub Daily Fut,NYM
LADFV3.EX,LADF OCT 13        ,EUX
EMV14.CME,"Eurodollar one-month Futures,Oc",CME
MU2GH4.EX,MU2G MAR 14        ,EUX
LSSU13.NYM,"future for LSS, September, 2013",NYM
YRWV1324.NYM,YRW Future OCT 24 2013,NYM
EAFU15.NYM,In Delivery Month European Unio,NYM
QGU13.NYM,"Natural Gas miNY Futures,Sep-20",NYM
QC3N13.CBT,QC3 Future JUL 2013,CBT
PQH6.AX,Peak Load Electricity Queenslan,ASX
XAVU13.CME,"future for XAV, September, 2013",CME
MYTIL4C.AT,MYTILI MAR 14      ,ATH
X5X1319.NYM,X5 Future NOV 19 2013 Trading S,NYM
YOV15.NYM,"NYMEX Sugar 11 Futures,Oct-2015",NYM
ZCH14.CBT,"Corn Futures Settlement Only,Ma",CBT
IDF13-C.SI,,
6ZN16.NYM,Tennessee 800 leg Natural Gas B,NYM
A6XN1317.NYM,A6X Future JUL 17 2013,NYM
UBIL-K1330.BO,UBIL     MAY  2013 FUTURE,BSE
H3X15.NYM,"future for H3, November, 2015, ",NYM
